lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
138.42316,-31.8896482,Giles, ;  Full Wheelchair Access,Hawker Institute Hall,,0,Elder Tce HAWKER SA,,SA,Hawker,0,0,,,,,,,
138.601079,-34.972999,Waite, ;  Full Wheelchair Access,Hawthorn Church of Christ,,0,42 Angas Rd HAWTHORN SA,,SA,Hawthorn,0,0,,,,,,,
138.499142,-34.929818,Colton,access from Burford Road;  Full Wheelchair Access,Henley Beach Primary School,,0,38 Hazel Tce HENLEY BEACH SOUTH SA,,SA,Henley Beach South,0,0,,,,,,,
138.7501012,-34.5772652,Light, ;  Full Wheelchair Access,Hewett Centre,,0,28-30 Kingfisher Drive Hewett SA,,SA,Hewett,0,0,,,,,,,
138.6624187,-34.9071358,Hartley, ;  Assisted Wheelchair Access,Tranmere Sea Scouts,,0,17 Moore Street TRANMERE SA,,SA,Hectorville South,0,0,,,,,,,
138.495319,-34.917852,Colton, ;  Full Wheelchair Access,Henley Fulham Uniting Church,,0,214 Military Rd HENLEY BEACH SA,,SA,Henley Beach,0,0,,,,,,,
138.542125,-35.010865,Elder, ;  Assisted Wheelchair Access,St Elizabeth Of Hungary Anglican Church,,0,12 Dwyer Rd OAKLANDS PARK SA,,SA,Oaklands Park,0,0,,,,,,,
138.68193,-34.731803,Little Para, ;  Full Wheelchair Access,Canterbury Close,,0,37 Blamey Rd ELIZABETH EAST SA,,SA,Hillbank,0,0,,,,,,,
138.6378783,-34.8665869,Torrens, ;  Assisted Wheelchair Access,Hillcrest Primary School,,0,Condamine St HILLCREST SA,,SA,Hillcrest,0,0,,,,,,,
138.6174747,-34.7943019,Ramsay,enter via Blackie Street;  Full Wheelchair Access,Karrendi Primary School,,0,Bradman Rd PARAFIELD GARDENS SA,,SA,Parafield Gardens,0,0,,,,,,,
138.5011079,-35.1833542,Kaurna,enter from Patapinda Rd;  Assisted Wheelchair Access,Old Noarlunga Primary School,,0,Malpas St OLD NOARLUNGA SA,,SA,Old Noarlunga,0,0,,,,,,,
138.674578,-34.882453,Hartley, ;  Full Wheelchair Access,St Francis of Assisi School,,0,57 Newton Road NEWTON SA,,SA,Newton,0,0,,,,,,,
138.5220011,-35.0051895,Morphett, ;  Full Wheelchair Access,Brighton High School,,0,303 Brighton Rd NORTH BRIGHTON SA,,SA,North Brighton West,0,0,,,,,,,
138.4551645,-35.2729161,Kaurna, ;  Full Wheelchair Access,Aldinga Community Centre (Symonds Reserve Hall),,0,Stewart Ave ALDINGA BEACH SA,,SA,Aldinga Beach West,0,0,,,,,,,
138.4573237,-35.2685861,Kaurna, ;  Full Wheelchair Access,Aldinga Beach R-7 School,,0,Quinliven Rd ALDINGA BEACH SA,,SA,Aldinga Beach,1,0,,,,,,,
138.5541168,-34.9013794,Croydon, ;  Full Wheelchair Access,Allenby Gardens Primary School,,0,Barham St ALLENBY GARDENS SA,,SA,Allenby Gardens,0,0,,,,,,,
,,Frome, ;  Assisted Wheelchair Access,Alford Hall,,0,High St ALFORD SA,,SA,Alford,0,0,,,,,,,
137.1658968,-30.4503276,Giles, ;  Assisted Wheelchair Access,Andamooka Hall,,0,38 Government Rd ANDAMOOKA SA,,SA,Andamooka,0,0,,,,,,,
137.7717201,-35.7842367,Finniss, ;  Full Wheelchair Access,American River Medical Centre,,0,Tangara Dr AMERICAN RIVER SA,,SA,American River,0,0,,,,,,,
137.916833,-34.4232321,Goyder, ;  Full Wheelchair Access,Ardrossan Area School,,0,14 Second St ARDROSSAN SA,,SA,Ardrossan,0,0,,,,,,,
139.0426381,-34.5059378,Schubert,Annexe;  Assisted Wheelchair Access,Angaston Institute,,0,Washington St ANGASTON SA,,SA,Angaston,0,0,,,,,,,
137.756937,-34.259493,Goyder, ;  Full Wheelchair Access,Arthurton Town Hall,,0,14 Main St ARTHURTON SA,,SA,Arthurton,0,0,,,,,,,
136.56781,-33.910691,Flinders, ;  Assisted Wheelchair Access,Arno Bay Memorial Hall,,0,21-23 Tel El Kebir Tce ARNO BAY SA,,SA,Arno Bay,0,0,,,,,,,
138.616056,-34.785564,Port Adelaide, ;  Assisted Wheelchair Access,Parafield Gardens R-7 School,,0,23 Shepherdson Rd PARAFIELD GARDENS SA,,SA,Parafield Gardens Central,0,0,,,,,,,
139.0390724,-35.1146695,Kavel, ;  Assisted Wheelchair Access,Callington Primary School,,0,North Terrace CALLINGTON SA,,SA,Callington,0,0,,,,,,,
139.2817004,-34.652707,Schubert, ;  Assisted Wheelchair Access,Cambrai Area School,,0,Main Rd CAMBRAI SA,,SA,Cambrai,0,0,,,,,,,
135.866142,-34.62622,Flinders, ;  Full Wheelchair Access,North Shields Community Hall,,0,25 Dorward St NORTH SHIELDS SA,,SA,North Shields,0,0,,,,,,,
138.6204654,-34.8482525,Torrens, ;  Assisted Wheelchair Access,Northfield Primary School,,0,North Ave NORTHFIELD SA,,SA,Northfield,0,0,,,,,,,
138.524836,-35.002054,Bright, ;  Full Wheelchair Access,Paringa Park Primary School,,0,21 Bowker St NORTH BRIGHTON SA,,SA,North Brighton,0,0,,,,,,,
138.497535,-34.7889271,Port Adelaide,enter via Sir Claude Gibb Street;  Full Wheelchair Access,North Haven Primary School,,0,Tapping Cres NORTH HAVEN SA,,SA,North Haven,0,0,,,,,,,
138.6366322,-34.9217054,Dunstan, ;  Full Wheelchair Access,Salvation Army,,0,53 George St NORWOOD SA,,SA,Norwood,0,0,,,,,,,
138.631456,-34.919359,Dunstan, ;  Full Wheelchair Access,Norwood Primary School,,1,39 Osmond Tce NORWOOD SA,,SA,Norwood West,0,0,Plus bacon & eggs,,,,,,
138.6338272,-34.8550154,Torrens, ;  Assisted Wheelchair Access,Oakden Baptist Church,,1,215-233 Fosters Rd NORTHGATE SA,,SA,Northgate,0,0,,,,,,,
138.7282953,-34.9269412,Morialta, ;  Assisted Wheelchair Access,Norton Summit Primary School,,0,15 Crescent Dr NORTON SUMMIT SA,,SA,Norton Summit,0,0,,,,,,,
138.537486,-34.9730188,Ashford, via Morphett Rd;  Full Wheelchair Access,Immanuel Primary School,,0,Cnr Morphett Rd & Saratoga Dr NOVAR GARDENS SA,,SA,Novar Gardens,0,0,,,,,,,
138.996341,-34.472364,Schubert, ;  Assisted Wheelchair Access,Nuriootpa Senior Citizens Clubrooms,,0,24 Murray St NURIOOTPA SA,,SA,Nuriootpa,0,0,,,,,,,
137.71468,-33.961671,Goyder, ;  Full Wheelchair Access,Kadina Town Hall,,0,51 Taylor St KADINA SA,,SA,Kadina,1,0,,,,,,,
139.4359918,-35.265742,Hammond, ;  Assisted Wheelchair Access,Jervois Memorial Hall,,0,Williams St JERVOIS SA,,SA,Jervois,0,0,,,,,,,
138.642392,-35.1654863,Heysen, ;  Full Wheelchair Access,Kangarilla Primary School,,0,Mclaren Flat Rd KANGARILLA SA,,SA,Kangarilla,0,0,,,,,,,
140.6996118,-37.5627273,MacKillop, ;  Assisted Wheelchair Access,Kalangadoo Primary School,,0,48 Kangaroo Flat Rd KALANGADOO SA,,SA,Kalangadoo,0,0,,,,,,,
135.7298813,-34.0319099,Flinders, ;  Assisted Wheelchair Access,Karkoo Kooplex,,0,Archie Griffiths Rd KARKOO SA,,SA,Karkoo,0,0,,,,,,,
138.9201938,-34.3249259,Stuart,"Primary School Gym, Jeffs Street, Kapunda ;  Assisted Wheelchair Access",Kapunda Primary School,,0,Mildred St KAPUNDA SA,,SA,Kapunda,0,0,,,,,,,
140.3531433,-36.0993722,MacKillop, ;  Full Wheelchair Access,Keith Area School,,0,Tolmer Tce KEITH SA,,SA,Keith,0,0,,,,,,,
139.8947003,-35.0938678,Chaffey, ;  Assisted Wheelchair Access,Karoonda Institute,,0,15 Peake St KAROONDA SA,,SA,Karoonda,0,0,,,,,,,
138.6514778,-34.9205669,Bragg, ;  Assisted Wheelchair Access,Kensington Park RSL,,0,346 The Parade KENSINGTON PARK SA,,SA,Kensington Park,0,1,,,,,,,
138.6722881,-34.9192779,Hartley, ;  Assisted Wheelchair Access,Norwood Morialta High School Senior Campus Canteen,,0,505 The Parade MAGILL SA,,SA,Kensington Gardens,0,0,,,,,,,
138.6195088,-33.8497514,Frome, ;  Full Wheelchair Access,Vineyard Lutheran School,,0,59 Main North Rd CLARE SA,,SA,Clare,0,0,,,,,,,
138.604347,-34.9940601,Waite, ;  Assisted Wheelchair Access,Clapham Primary School,,0,Barretts Rd CLAPHAM SA,,SA,Clapham,0,0,,,,,,,
138.477966,-35.129503,Reynell, ;  Full Wheelchair Access,St John the Apostle Parish School,,0,14 Winnerah Rd CHRISTIES BEACH SA,,SA,Christies Beach North,0,0,,,,,,,
138.503163,-35.134229,Reynell, ;  Full Wheelchair Access,Elizabeth House Positive Ageing Centre,,0,112 Elizabeth Rd CHRISTIE DOWNS SA,,SA,Christie Downs East,0,0,,,,,,,
138.4965457,-35.1340912,Reynell, ;  Full Wheelchair Access,Christie Downs Primary School,,0,Elizabeth Rd CHRISTIE DOWNS SA,,SA,Christie Downs,0,0,,,,,,,
138.6553303,-35.0632837,Fisher, ;  Full Wheelchair Access,Cherry Gardens Memorial Hall,,0,Cherry Gardens Rd CHERRY GARDENS SA,,SA,Cherry Gardens,0,0,,,,,,,
138.52564,-34.866175,Cheltenham, ;  Assisted Wheelchair Access,Cheltenham Community Centre,,0,62 Stroud St North CHELTENHAM SA,,SA,Cheltenham,0,0,,,,,,,
138.9211925,-34.9160062,Kavel,enter via Newman Road;  Assisted Wheelchair Access,Charleston Memorial Hall,,0,Newman Rd CHARLESTON SA,,SA,Charleston,0,0,,,,,,,
138.5431356,-35.1296395,Mawson, ;  Full Wheelchair Access,Coorara Primary School,,0,Taylors Ave MORPHETT VALE SA,,SA,Onkaparinga Hills,0,0,,,,,,,
138.589924,-34.964239,Ashford, ;  Assisted Wheelchair Access,Church of the Trinity,,0,318 Goodwood Rd CLARENCE PARK SA,,SA,Clarence Park,0,0,,,,,,,
138.5732577,-34.9705484,Ashford, ;  Full Wheelchair Access,St Francis Community Centre,,0,Cnr South Rd & Dinwoodie Ave CLARENCE GARDENS SA,,SA,Clarence Gardens,1,0,,,,,,,
138.5960266,-35.0658006,Fisher, ;  Full Wheelchair Access,Aberfoyle Park Primary School Campus (Drama Hall),,0,Cnr Sunnymeade & Campus Dr ABERFOYLE PARK SA,,SA,Aberfoyle Park Central,0,0,,,,,,,
138.521702,-34.856144,Port Adelaide, ;  Assisted Wheelchair Access,Mount Carmel College,,0,33 Newcastle St ROSEWATER SA,,SA,Rosewater,0,0,,,,,,,
138.710285,-34.817978,Florey, ;  Full Wheelchair Access,Ridgehaven Primary School,,0,479 Milne Rd RIDGEHAVEN SA,,SA,Ridgehaven,0,0,,,,,,,
138.524338,-35.103752,Reynell, ;  Assisted Wheelchair Access,Reynella South Primary School,,0,119-135 Sherrifs Rd REYNELLA SA,,SA,Reynella,0,0,,,,,,,
138.7031144,-34.8141156,Florey, ;  Full Wheelchair Access,Redwood Park Primary School,,0,Lokan St REDWOOD PARK SA,,SA,Redwood Park,0,0,,,,,,,
138.596729,-34.874715,Enfield,Gymnasium - enter via Stuart Rd or Arthur St;  Full Wheelchair Access,Prospect North Primary School,,0,30 Stuart Rd PROSPECT SA,,SA,Prospect North,0,0,,,,,,,
138.552287,-34.962202,West Torrens, ;  Full Wheelchair Access,William Light R-12 School,,0,81 Errington St PLYMPTON SA,,SA,Plympton West,0,0,,,,,,,
138.556108,-34.960692,West Torrens, ;  Assisted Wheelchair Access,Plympton Primary School,,0,19 Owen St PLYMPTON SA,,SA,Plympton,0,0,,,,,,,
138.547484,-34.989126,Morphett,Use Condada Ave entrance;  Assisted Wheelchair Access,Springpark Baptist Church,,0,80 Hendrie St PARK HOLME SA,,SA,Park Holme,0,0,,,,,,,
138.6132154,-34.7584572,Taylor,enter via Halba Cres or Careena Ave;  Assisted Wheelchair Access,Paralowie R-12 School,,0,Whites Road PARALOWIE SA,,SA,Paralowie,0,0,,,,,,,
138.607707,-34.773352,Taylor, ;  No Wheelchair Access,The Pines Primary School,,0,42 Andrew Smith Dr PARAFIELD GARDENS SA,,SA,Parafield Gardens North-West,0,0,,,,,,,
138.5522864,-34.8640168,Enfield, ;  Full Wheelchair Access,Woodville Gardens School B-7,,0,Ridley Gr WOODVILLE GARDENS SA,,SA,Woodville Gardens,0,0,,,,,,,
138.5210355,-34.8854202,Lee, ;  Assisted Wheelchair Access,Woodville West Kindergarten,,0,Cnr Elizabeth St & Lawton Cres WOODVILLE WEST SA,,SA,Woodville West,0,0,,,,,,,
138.556371,-35.105304,Fisher,Gymnasium off Investigator Drive;  Full Wheelchair Access,Woodcroft Primary School,,0,1-23 Investigator Dr WOODCROFT SA,,SA,Woodcroft,0,0,,,,,,,
138.543843,-35.113504,Mawson, ;  Full Wheelchair Access,Woodcroft College,,0,143-173 Bains Rd MORPHETT VALE SA,,SA,Woodcroft West,0,0,,,,,,,
138.700704,-34.853403,Torrens, ;  Full Wheelchair Access,Turramurra Recreation Centre,,0,1000 Lower North East Rd HIGHBURY SA,,SA,Highbury,0,0,,,,,,,
138.607707,-34.773352,Port Adelaide, ;  No Wheelchair Access,The Pines Primary School,,0,42 Andrew Smith Dr PARAFIELD GARDENS SA,,SA,Parafield Gardens North-West,0,0,,,,,,,
138.677139,-34.799999,Florey, ;  No Wheelchair Access,Keithcot Farm Children's Centre,,0,5 Keithcot Farm Dr WYNN VALE SA,,SA,Wynn Vale West,0,0,,,,,,,
138.5918388,-34.9808784,Ashford, ;  Full Wheelchair Access,Colonel Light Gardens Uniting Church Hall,,0,560 Goodwood Rd DAW PARK SA,,SA,Daw Park,0,0,,,,,,,
138.67363,-34.6802379,Light, ;  Full Wheelchair Access,John Hartley School,,0,199 Peachey Rd SMITHFIELD PLAINS SA,,SA,Smithfield Plains,0,0,,,,,,,
138.5522864,-34.8640168,Cheltenham, ;  Full Wheelchair Access,Woodville Gardens School B-7,,0,Ridley Gr WOODVILLE GARDENS SA,,SA,Woodville Gardens,0,0,,,,,,,
138.71283,-34.993392,Bragg, ;  Assisted Wheelchair Access,Crafers Primary School,,1,55 Piccadilly Rd CRAFERS SA,,SA,Crafers,0,0,,,,,,,
138.7003008,-34.7123942,Little Para, ;  Assisted Wheelchair Access,Craigmore South Primary School,,0,Turner Dr CRAIGMORE SA,,SA,Craigmore South,0,0,,,,,,,
138.625428,-35.00373,Waite, ;  Full Wheelchair Access,Belair School,,1,45-83 Main Rd BELAIR SA,,SA,Belair,0,0,,,,,,,
138.47913,-35.137963,Reynell,enter off Price Street.;  Full Wheelchair Access,Christies Beach Primary School,,1,46 Maturin Ave CHRISTIES BEACH SA,,SA,Christies Beach,0,0,,,,,,,
138.5644327,-34.9743441,Elder, ;  Full Wheelchair Access,Edwardstown Community Church,,1,Cnr De Laine Ave & Towers Tce EDWARDSTOWN SA,,SA,Edwardstown,0,0,,,,,,,
138.6756238,-34.7030062,Little Para,Wheelchair access from Amport St;  Full Wheelchair Access,Elizabeth North Primary School,,0,141 Woodford Rd ELIZABETH NORTH SA,,SA,Elizabeth North,0,0,,,,,,,
138.6644061,-34.6978323,Napier, ;  Assisted Wheelchair Access,Swallowcliffe Primary School,,0,Swallowcliffe Rd DAVOREN PARK SA,,SA,Davoren Park,0,0,,,,,,,
138.5918388,-34.9808784,Elder,Use Aver Avenue  playground entrance;  Full Wheelchair Access,Colonel Light Gardens Uniting Church Hall,,0,560 Goodwood Rd DAW PARK SA,,SA,Daw Park,0,0,,,,,,,
138.5213194,-34.8768027,Cheltenham, ;  Assisted Wheelchair Access,Lutheran Church Albert Park,,0,Cnr Botting & Osborne Sts ALBERT PARK SA,,SA,Albert Park,0,0,,,,,,,
138.5588559,-34.8628519,Enfield,via Stuart Street;  Full Wheelchair Access,St Pauls Lutheran Church,,0,Cnr Stuart & Parker Sts FERRYDEN PARK SA,,SA,Ferryden Park,0,0,,,,,,,
138.662969,-34.8492663,Florey,Gym;  Full Wheelchair Access,Wandana Primary School,,0,2 Cowra Ave GILLES PLAINS SA,,SA,Gilles Plains,0,0,,,,,,,
133.673371,-32.125347,Flinders, ;  Assisted Wheelchair Access,Ceduna Memorial Hall,,0,31 Poynton St CEDUNA SA,,SA,Ceduna,0,0,,,,,,,
138.520057,-34.894716,Colton, ;  Full Wheelchair Access,Seaton Park Primary School,,0,80 Balcombe Ave SEATON SA,,SA,Seaton Park,0,0,,,,,,,
134.890267,-33.64856,Flinders, ;  Assisted Wheelchair Access,Elliston CWA Rooms,,0,9 Memorial Dr ELLISTON SA,,SA,Elliston,0,0,,,,,,,
138.6022664,-34.8659825,Enfield,off Harewood Ave;  Full Wheelchair Access,Enfield Primary School,,0,Clarice Ave ENFIELD SA,,SA,Enfield,0,0,,,,,,,
138.603608,-34.873147,Enfield, ;  Full Wheelchair Access,Our Lady of the Sacred Heart College,,1,496 Regency Road ENFIELD SA,,SA,Enfield South,0,1,,,,,,,
138.4953247,-34.8514928,Lee, ;  Full Wheelchair Access,Portlife Church,,0,1 Causeway Rd ETHELTON SA,,SA,Ethelton,0,0,,,,,,,
139.0848947,-34.1735308,Stuart, ;  Assisted Wheelchair Access,Eudunda RSL Club,,0,2 Railway Pde EUDUNDA SA,,SA,Eudunda,0,0,,,,,,,
138.7379327,-34.6151357,Light, ;  Assisted Wheelchair Access,Gawler and District College B12,,0,Barnet Rd EVANSTON SA,,SA,Evanston,0,0,,,,,,,
138.719474,-34.624135,Light,enter via Community Centre;  Full Wheelchair Access,Evanston Gardens Memorial Hall,,0,65 Angle Vale Road EVANSTON GARDENS SA,,SA,Evanston Gardens,0,0,,,,,,,
138.7304886,-34.7983823,Newland, ;  Full Wheelchair Access,Fairview Park Primary School,,0,Nepondi Ct FAIRVIEW PARK SA,,SA,Fairview Park,0,0,,,,,,,
138.796215,-33.827385,Stuart, ;  Assisted Wheelchair Access,Farrell Flat Primary School,,0,1-9 Love St FARRELL FLAT SA,,SA,Farrell Flat,0,0,,,,,,,
138.6435517,-34.8901433,Hartley, ;  Assisted Wheelchair Access,Felixstow Education Office,,0,5-11 Briar Rd FELIXSTOW SA,,SA,Felixstow,0,0,,,,,,,
138.5547179,-34.8755444,Croydon, ;  Full Wheelchair Access,Challa Gardens Primary School,,0,Humphries Tce KILKENNY SA,,SA,Challa Gardens,0,0,,,,,,,
138.6629509,-34.785334,Wright, ;  Assisted Wheelchair Access,Madison Park School,,0,19 Lincoln Ave SALISBURY EAST SA,,SA,Salisbury East,0,0,,,,,,,
138.6716678,-34.7729902,Wright, ;  Full Wheelchair Access,Tyndale Christian School,,0,London Dr SALISBURY EAST SA,,SA,Salisbury East North,0,0,,,,,,,
138.6570242,-34.7930731,Wright,enter via Melville Road;  Assisted Wheelchair Access,Keller Rd Primary School,,0,Keller Rd SALISBURY EAST SA,,SA,Salisbury East South,0,0,,,,,,,
138.678375,-34.758826,Little Para, ;  Assisted Wheelchair Access,Salisbury Heights Primary School,,0,9 Ward St SALISBURY HEIGHTS SA,,SA,Salisbury Heights,1,0,,,,,,,
138.783195,-34.080675,Frome, ;  Assisted Wheelchair Access,Saddleworth Primary School,,0,7 Saddle Rd SADDLEWORTH SA,,SA,Saddleworth,0,0,,,,,,,
138.647242,-34.767175,Ramsay,enter via Harvey Ave - Gym;  Assisted Wheelchair Access,Salisbury Primary School,,0,10 Compuda Street SALISBURY SA,,SA,Salisbury,0,0,,,,,,,
138.6460404,-34.7631385,Ramsay, ;  Full Wheelchair Access,TAFE SA Salisbury Campus,,0,16 Wiltshire St SALISBURY SA,,SA,Salisbury Central,1,0,,,,,,,
138.623353,-34.771628,Ramsay, ;  Full Wheelchair Access,Salisbury Downs Primary School,,0,39 Paramount Rd SALISBURY DOWNS SA,,SA,Salisbury Downs,0,0,,,,,,,
139.3762847,-35.3082808,Hammond, ;  Assisted Wheelchair Access,Wellington Community Hall,,0,Jervois Rd WELLINGTON SA,,SA,Wellington,0,0,,,,,,,
138.5208134,-35.0316711,Bright, ;  Full Wheelchair Access,Seacliff Uniting Church Hall,,0,Wheatland St SEACLIFF SA,,SA,Seacliff,0,0,,,,,,,
138.5424485,-35.0290947,Mitchell,Wheelchair access only through side door;  Full Wheelchair Access,Seaview High School,,0,Seacombe Rd SEACOMBE HEIGHTS SA,,SA,Seacombe Heights,0,0,,,,,,,
138.51019,-34.9387175,Morphett, ;  Full Wheelchair Access,West Beach Primary School,,0,3 Woodhead St WEST BEACH SA,,SA,West Beach,0,0,,,,,,,
138.6087013,-34.9062837,Adelaide,access from Melbourne St or Sussex St;  Full Wheelchair Access,St Cyprian's Anglican Church,,0,70 Melbourne St NORTH ADELAIDE SA,,SA,North Adelaide East,0,0,,,,,,,
138.597563,-34.904986,Adelaide,enter off Tynte St or Gover St;  Full Wheelchair Access,North Adelaide Primary School,,1,62-80 Tynte St NORTH ADELAIDE SA,,SA,North Adelaide,0,0,,,,,,,
140.7463852,-36.9791341,MacKillop, ;  Full Wheelchair Access,Naracoorte South Primary School,,0,Cedar Ave NARACOORTE SA,,SA,Naracoorte South,0,0,,,,,,,
140.742271,-36.955559,MacKillop, ;  Full Wheelchair Access,Naracoorte Town Hall,,0,95 Smith Street NARACOORTE SA,,SA,Naracoorte,0,0,,,,,,,
138.1006308,-33.1525743,Frome, ;  Assisted Wheelchair Access,Napperby Primary School,,0,Oaks Rd NAPPERBY SA,,SA,Napperby,0,0,,,,,,,
140.817513,-37.541343,MacKillop, ;  No Wheelchair Access,Nangwarry Primary School,,0,Whitford Cres NANGWARRY SA,,SA,Nangwarry,0,0,,,,,,,
138.4964926,-35.1512522,Mawson,enter off Canterbury Cres or Taranaki St;  Full Wheelchair Access,Noarlunga Downs Primary School,,0,Canterbury Cres NOARLUNGA DOWNS SA,,SA,Noarlunga Downs,0,0,,,,,,,
139.5848056,-34.7703823,Chaffey, ;  No Wheelchair Access,Nildottie Lutheran Church Hall,,0,4103 Hunter Rd NILDOTTIE SA,,SA,Nildottie,0,0,,,,,,,
138.5463817,-34.9542254,West Torrens, ;  Assisted Wheelchair Access,Netley Kindergarten,,0,Comet Ave NETLEY SA,,SA,Netley,0,0,,,,,,,
138.6252737,-34.9670692,Waite, ;  Assisted Wheelchair Access,Urrbrae Agricultural High School,,0,505 Fullarton Rd NETHERBY SA,,SA,Netherby,0,0,,,,,,,
138.675553,-34.925219,Bragg, ;  Assisted Wheelchair Access,Christopher Rawson Penfold Kindergarten,,0,2a Yeltana Ave WATTLE PARK SA,,SA,Wattle Park,0,0,,,,,,,
138.595497,-34.943095,Unley,access via Rose Place walkway;  Assisted Wheelchair Access,Latvian Evangelical Lutheran Church,,1,23 Rose Tce WAYVILLE SA,,SA,Wayville,0,0,,,,,,,
138.594753,-35.078135,Fisher, ;  Assisted Wheelchair Access,Aberfoyle Hub R-7 School,,0,29 Jeanette Cres ABERFOYLE PARK SA,,SA,Aberfoyle Park South,0,0,,,,,,,
137.753843,-32.471485,Stuart,School Gym;  Assisted Wheelchair Access,Flinders View Primary School,,0,54 Chinnery St PORT AUGUSTA WEST SA,,SA,Port Augusta West,0,0,,,,,,,
137.9308122,-33.5999266,Frome, ;  Full Wheelchair Access,Port Broughton Institute,,0,31 McKay St PORT BROUGHTON SA,,SA,Port Broughton,0,0,,,,,,,
137.763715,-32.494535,Stuart,Main hall entrance;  Assisted Wheelchair Access,Cooinda Club,,0,32 Flinders Tce PORT AUGUSTA SA,,SA,Port Augusta,0,0,,,,,,,
137.772662,-32.494171,Stuart,Main entrance;  Assisted Wheelchair Access,TAFE SA Port Augusta Campus,,0,9-39 Carlton Pde PORT AUGUSTA SA,,SA,Port Augusta Central,0,0,,,,,,,
138.62262,-34.823671,Playford, ;  Full Wheelchair Access,Pooraka Farm Community Centre Inc,,0,126 Henderson Ave POORAKA SA,,SA,Pooraka North,0,0,,,,,,,
138.4995425,-34.8446664,Port Adelaide, ;  Full Wheelchair Access,TAFE SA Port Adelaide Campus,,0,Mundy St PORT ADELAIDE SA,,SA,Port Adelaide,0,0,,,,,,,
134.8337018,-32.7209491,Flinders, ;  No Wheelchair Access,Poochera Community District Hall,,0,Cnr Main Rd & Kent St POOCHERA SA,,SA,Poochera,0,0,,,,,,,
138.613697,-34.833356,Playford, ;  Full Wheelchair Access,Pooraka Primary School,,0,11 South Tce POORAKA SA,,SA,Pooraka,0,0,,,,,,,
139.0507354,-34.0755995,Stuart, ;  Assisted Wheelchair Access,Point Pass District Hall,,0,15 Main St POINT PASS SA,,SA,Point Pass,0,0,,,,,,,
139.3071668,-34.948948,Hammond, ;  No Wheelchair Access,Ponde Hall,,0,443 Dabinett Rd PONDE SA,,SA,Ponde,0,0,,,,,,,
138.471613,-35.174885,Kaurna, ;  Full Wheelchair Access,Seaford K-7 School,,0,39 Jane St PORT NOARLUNGA SOUTH SA,,SA,Port Noarlunga South,0,0,,,,,,,
138.0040025,-33.1837914,Frome, ;  Full Wheelchair Access,TAFE SA Port Pirie Campus,,0,Cnr The Terrace & Mary Elie St PORT PIRIE SA,,SA,Port Pirie,0,0,,,,,,,
138.0094313,-33.203988,Frome, ;  Assisted Wheelchair Access,Risdon Park Primary School,,0,28 Kingston Rd PORT PIRIE SA,,SA,Port Pirie South,0,0,,,,,,,
137.484637,-34.4973646,Goyder, ;  Full Wheelchair Access,Port Victoria Institute,,0,16 Main St PORT VICTORIA SA,,SA,Port Victoria,0,0,,,,,,,
137.8562699,-34.7825043,Goyder, ;  Full Wheelchair Access,Port Vincent Senior Citizens Co-op,,0,Main St PORT VINCENT SA,,SA,Port Vincent,0,0,,,,,,,
138.1501372,-34.1851301,Goyder, ;  Full Wheelchair Access,Port Wakefield Soldiers Memorial Hall,,0,Edward St PORT WAKEFIELD SA,,SA,Port Wakefield,0,0,,,,,,,
138.590041,-34.885187,Adelaide,access via Olive St & Braund Rd;  Full Wheelchair Access,Prospect Primary School,,1,27 Gladstone Rd PROSPECT SA,,SA,Prospect,0,0,,,,,,,
138.7351716,-35.2162255,Heysen, ;  Full Wheelchair Access,Prospect Hill Community Hall,,0,Morris Road PROSPECT HILL SA,,SA,Prospect Hill,0,0,,,,,,,
138.5980531,-34.8956108,Adelaide,off Highbury Street;  Full Wheelchair Access,Blackfriars Gymnasium,,0,Highbury St PROSPECT SA,,SA,Prospect South,1,0,,,,,,,
139.6182931,-34.8538765,Chaffey, ;  Full Wheelchair Access,Purnong District Hall,,0,Forster St PURNONG SA,,SA,Purnong,0,0,,,,,,,
138.5756991,-35.0033039,Waite,enter from Walsh Avenue;  Assisted Wheelchair Access,St Bernadette's Parish Hall,,0,Cnr South Road & Walsh Avenue ST MARYS SA,,SA,St Marys,0,0,,,,,,,
138.6174747,-34.7943019,Port Adelaide,enter via Blackie Street;  Full Wheelchair Access,Karrendi Primary School,,0,Bradman Rd PARAFIELD GARDENS SA,,SA,Parafield Gardens,0,0,,,,,,,
138.657208,-34.834205,Playford, ;  No Wheelchair Access,Valley View Secondary School,,0,240 Wright Rd PARA VISTA SA,,SA,Para Vista,0,0,,,,,,,
138.540845,-34.872922,Cheltenham,enter from Brocas Ave;  No Wheelchair Access,Woodville High School,,0,11 Actil Ave ST CLAIR SA,,SA,St Clair,0,0,,,,,,,
138.542125,-35.010865,Mitchell, ;  Assisted Wheelchair Access,St Elizabeth Of Hungary Anglican Church,,1,12 Dwyer Rd OAKLANDS PARK SA,,SA,Oaklands Park,0,0,,,,,,,
138.5220011,-35.0051895,Bright, ;  Full Wheelchair Access,Brighton High School,,0,303 Brighton Rd NORTH BRIGHTON SA,,SA,North Brighton West,0,0,,,,,,,
