lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
138.560056,-34.967421,Ashford, ;  Assisted Wheelchair Access,Vermont Uniting Church,,0,578 Cross Rd SOUTH PLYMPTON SA,,SA,South Plympton North,0,0,,,,,,,
140.1285807,-37.5690625,MacKillop, ;  Assisted Wheelchair Access,Southend Community Club,,0,Eliza St SOUTHEND SA,,SA,Southend,0,0,,,,,,,
138.019375,-33.189284,Frome, ;  Full Wheelchair Access,Solomontown Primary School,,0,79 Three Chain Rd SOLOMONTOWN SA,,SA,Solomontown,0,0,,,,,,,
138.5286355,-35.0252911,Bright, ;  Assisted Wheelchair Access,South Brighton Community Hall,,0,Dover Square SOUTH BRIGHTON SA,,SA,South Brighton,0,0,,,,,,,
133.936365,-32.373495,Flinders, ;  Assisted Wheelchair Access,Smoky Bay CFS Station,,0,1 Tremaine St SMOKY BAY SA,,SA,Smoky Bay,0,0,,,,,,,
138.215213,-33.781214,Frome, ;  Full Wheelchair Access,Snowtown Soldiers Memorial Hall,,0,22 Railway Tce SNOWTOWN SA,,SA,Snowtown,0,0,,,,,,,
138.536206,-35.079445,Mitchell, ;  Full Wheelchair Access,Woodend Primary School,,1,10-22 Edward Beck Dr SHEIDOW PARK SA,,SA,Sheidow Park South,0,0,,,,,,,
138.688171,-34.6860752,Napier,via the small carpark in front of the hall;  Full Wheelchair Access,ECH Residential Care Centre,,0,1 Warooka Drive SMITHFIELD SA,,SA,Smithfield,0,0,,,,,,,
138.4830821,-34.8446223,Lee,entrance via Hart St;  Full Wheelchair Access,Le Fevre High School,,0,Hart St SEMAPHORE SOUTH SA,,SA,Semaphore South,0,0,,,,,,,
138.53227,-35.071412,Mitchell, ;  Full Wheelchair Access,Sheidow Park Primary School,,0,21-43 Adams Rd SHEIDOW PARK SA,,SA,Sheidow Park,0,0,,,,,,,
138.784955,-34.839241,Morialta, ;  Assisted Wheelchair Access,Paracombe CFS Fire Station,,1,Paracombe Rd PARACOMBE SA,,SA,Paracombe,0,0,,,,,,,
138.6531654,-34.8010723,Playford, ;  No Wheelchair Access,Para Hills West Primary School,,0,21 Balkara Rd PARA HILLS WEST SA,,SA,Para Hills West,0,0,,,,,,,
138.5446172,-34.2689093,Goyder, ;  Assisted Wheelchair Access,Owen Hall,,0,Railway Tce OWEN SA,,SA,Owen,0,0,,,,,,,
138.527088,-34.8514367,Port Adelaide, ;  Assisted Wheelchair Access,Junction Community Centre,,0,Cnr Grand Junction Rd & May Tce OTTOWAY SA,,SA,Ottoway,0,0,,,,,,,
139.160892,-34.8529602,Schubert,via Olive Drive & archway to Centenary Memorial Drive;  Assisted Wheelchair Access,Palmer Hall,,0,Adelaide-Mannum Rd PALMER SA,,SA,Palmer,0,0,,,,,,,
140.4971311,-36.5939709,MacKillop, ;  Assisted Wheelchair Access,Padthaway Primary School,,0,Vogelsang Rd PADTHAWAY SA,,SA,Padthaway,0,0,,,,,,,
138.7663096,-34.7117885,Napier, ;  No Wheelchair Access,One Tree Hill Primary School,,0,McGilp Rd ONE TREE HILL SA,,SA,One Tree Hill,0,0,,,,,,,
138.8081557,-35.0037528,Kavel, ;  Full Wheelchair Access,Oakbank Area School,,0,154 Onkaparinga Valley Rd OAKBANK SA,,SA,Oakbank,0,0,,,,,,,
138.479683,-35.125516,Reynell, ;  Full Wheelchair Access,O'Sullivan Beach Primary School,,0,51 Galloway Rd O'SULLIVAN BEACH SA,,SA,O'Sullivan Beach,0,0,,,,,,,
138.613327,-32.733558,Stuart, ;  Assisted Wheelchair Access,Orroroo Town Hall,,0,17 Second St ORROROO SA,,SA,Orroroo,0,0,,,,,,,
138.6038272,-34.9341567,Adelaide,enter off Gilles Street;  Full Wheelchair Access,Gilles St Primary School,,1,91 Gilles St ADELAIDE SA,,SA,Adelaide South,0,0,Plus egg/bacon muffins and drinks,,,,,,
138.568154,-34.894326,Croydon,enter from Elizabeth Street;  Assisted Wheelchair Access,Church of Christ,,0,49 Elizabeth St CROYDON SA,,SA,Croydon,0,0,,,,,,,
138.7153497,-34.6917827,Napier, ;  Assisted Wheelchair Access,Playford Primary School,,0,Somerset Gr CRAIGMORE SA,,SA,Craigmore North,0,0,,,,,,,
139.8498145,-35.687599,MacKillop, ;  Assisted Wheelchair Access,Coonalpyn Hall,,0,Dukes Hwy COONALPYN SA,,SA,Coonalpyn,0,0,,,,,,,
139.6678419,-35.4626967,Hammond, ;  No Wheelchair Access,Coomandook Uniting Church Hall,,0,Dukes Hwy COOMANDOOK SA,,SA,Coomandook,0,0,,,,,,,
137.083263,-34.926379,Goyder, ;  Assisted Wheelchair Access,Corny Point Memorial Hall,,0,2 Liddiards Rd CORNY POINT SA,,SA,Corny Point,0,0,,,,,,,
140.8390021,-37.2912738,MacKillop, ;  Assisted Wheelchair Access,Coonawarra Soldiers Memorial Hall,,0,Helen Rd COONAWARRA SA,,SA,Coonawarra,0,0,,,,,,,
138.5593159,-34.9340199,West Torrens, ;  Full Wheelchair Access,Cowandilla Primary School,,1,21 Jenkins St COWANDILLA SA,,SA,Cowandilla,0,0,,,,,,,
138.626133,-35.03334,Davenport, ;  Assisted Wheelchair Access,Coromandel Valley Primary School,,0,339 Main Rd COROMANDEL VALLEY SA,,SA,Coromandel Valley,0,0,,,,,,,
138.7113539,-34.6976122,Napier,enter via Jamieson Street;  Assisted Wheelchair Access,Craigmore High School,,0,Uley Rd CRAIGMORE SA,,SA,Craigmore,0,0,,,,,,,
136.926375,-33.683738,Flinders, ;  Assisted Wheelchair Access,Franklin Harbour Institute,,0,8 Main St COWELL SA,,SA,Cowell,0,0,,,,,,,
138.63769,-34.876944,Torrens, ;  Assisted Wheelchair Access,Klemzig Primary School,,0,2 Hay St KLEMZIG SA,,SA,Klemzig,0,0,,,,,,,
138.6501329,-34.9256779,Dunstan, ;  Assisted Wheelchair Access,Marryatville Primary School,,0,54 Dankel Ave KENSINGTON SA,,SA,Kensington,0,0,,,,,,,
138.5332069,-35.141617,Mawson, ;  Assisted Wheelchair Access,Hackham East Primary School,,0,Collins Pde HACKHAM SA,,SA,Hackham,0,0,,,,,,,
138.6678396,-34.7916168,Wright,Gym;  Assisted Wheelchair Access,Gulfview Heights Primary School,,0,Kiekebusch Rd GULFVIEW HEIGHTS SA,,SA,Gulfview Heights,0,0,,,,,,,
138.700704,-34.853403,Morialta, ;  Full Wheelchair Access,Turramurra Recreation Centre,,0,1000 Lower North East Rd HIGHBURY SA,,SA,Highbury,0,0,,,,,,,
138.625781,-34.873206,Torrens, ;  Full Wheelchair Access,Church of Christ Hampstead Gardens,,0,28 Gambia Ave HAMPSTEAD GARDENS SA,,SA,Hampstead Gardens,0,0,,,,,,,
138.588912,-34.951508,Ashford, ;  Full Wheelchair Access,Goodwood Primary School,,1,140 Goodwood Rd GOODWOOD SA,,SA,Goodwood,0,0,,,,,,,
138.6359181,-34.9490137,Unley,Gym access via Conyngham Street;  Full Wheelchair Access,Glenunga International High School,,0,99 L'Estrange St GLENUNGA SA,,SA,Glenunga,0,0,,,,,,,
138.708397,-34.767947,Little Para, ;  Full Wheelchair Access,Salvation Army,,1,1681 Golden Grove Rd GREENWITH SA,,SA,Greenwith West,0,0,,,,,,,
138.49588,-34.902423,Colton, ;  Full Wheelchair Access,Grange Primary School,,1,39a Jetty St GRANGE SA,,SA,Grange,0,0,,,,,,,
140.3695088,-36.9657184,MacKillop, ;  Assisted Wheelchair Access,Lucindale Area School,,0,Gum Ave LUCINDALE SA,,SA,Lucindale,0,0,,,,,,,
138.8868673,-34.6040902,Schubert,via Gordon Street;  Full Wheelchair Access,Lyndoch Primary School,,0,Margaret St LYNDOCH SA,,SA,Lyndoch,0,0,,,,,,,
135.757149,-33.565601,Flinders, ;  Assisted Wheelchair Access,Lock Hall,,0,18/19 Railway Tce LOCK SA,,SA,Lock,0,0,,,,,,,
138.5032766,-35.1246005,Reynell, ;  Assisted Wheelchair Access,Lonsdale Heights Primary School,,0,25 Sunningdale Dr CHRISTIE DOWNS SA,,SA,Lonsdale,0,0,,,,,,,
140.5687591,-34.4536809,Chaffey, ;  Assisted Wheelchair Access,Lutheran Peace Hall,,0,Bookpurnong Tce LOXTON SA,,SA,Loxton,0,0,,,,,,,
140.624327,-34.413138,Chaffey, ;  Assisted Wheelchair Access,Loxton North Primary School,,0,379 Balfour-Ogilvy Rd LOXTON NORTH SA,,SA,Loxton North,0,0,,,,,,,
138.646237,-34.94792,Bragg, ;  Full Wheelchair Access,Linden Park Schools,,0,14 Hay Rd LINDEN PARK SA,,SA,Linden Park,0,0,,,,,,,
138.8694903,-35.0536083,Kavel, ;  Assisted Wheelchair Access,Anembo Park Clubrooms,,0,Princes Hwy LITTLEHAMPTON SA,,SA,Littlehampton,0,0,,,,,,,
138.8744829,-34.9050447,Kavel, ;  Full Wheelchair Access,Onkaparinga Senior Citizens Centre,,0,36 Main St LOBETHAL SA,,SA,Lobethal,0,0,,,,,,,
138.1616108,-33.9294336,Frome, ;  Assisted Wheelchair Access,Lochiel Hall,,0,Cnr Robert & Frances Sts LOCHIEL SA,,SA,Lochiel,0,0,,,,,,,
-8.411594,43.3623364,Fisher,South Access - off Hub Drive behind shopping centre. North Access - off Taylor Road;  Assisted Wheelchair Access,Aberfoyle Park High School,,0,36A Taylors Rd East ABERFOYLE PARK SA,,SA,Aberfoyle Park,0,0,,,,,,,
138.5210355,-34.8854202,Cheltenham, ;  Assisted Wheelchair Access,Woodville West Kindergarten,,0,Cnr Elizabeth St & Lawton Cres WOODVILLE WEST SA,,SA,Woodville West,0,0,,,,,,,
138.3910661,-33.360029,Frome, ;  Assisted Wheelchair Access,Georgetown Memorial Hall,,0,Pitt St GEORGETOWN SA,,SA,Georgetown,0,0,,,,,,,
138.3516596,-33.2690827,Frome, ;  Assisted Wheelchair Access,Gladstone Primary School,,0,2 West Tce GLADSTONE SA,,SA,Gladstone,0,0,,,,,,,
