lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
146.344,-41.1737,,Assisted Disabled,Addison Street Scout Hall,,0,11 Addison St TAS 7310,,TAS,Addison Street Scout Hall,0,0,,,,,,,
146.337,-41.1728,,Assisted Disabled,Nixon Street Primary School,,0,Nixon St TAS 7310,,TAS,Nixon Street Primary School,0,0,,,,,,,
146.354,-41.1667,,Assisted Disabled,Mersey Bluff Church of Christ,,0,232 William St TAS 7310,,TAS,Mersey Bluff Church of Christ,0,0,,,,,,,
146.66111,-41.52917,,Assisted Disabled,Deloraine High School Hall,,0,East Barrack St TAS 7304,,TAS,Deloraine High School Hall,0,0,,,,,,,
145.614,-41.7376,,Assisted Disabled,Tullah Fire Station,,0,Farrell St TAS 7321,,TAS,Tullah Fire Station,0,0,,,,,,,
147.296,-42.838,,Assisted Disabled,Moonah Primary School,,1,42 Derwent Park Rd TAS 7009,,TAS,Moonah Primary School,0,1,,,,,,,
147.80236,-41.14933,,Standard,Derby Town Hall,,0,Cnr Main & Krushka St TAS 7264,,TAS,Derby Town Hall,0,0,,,,,,,
147.013,-43.3105,,Assisted Disabled,Dover District High School,,0,6940 Huon Hwy TAS 7117,,TAS,Dover District High School,0,0,,,,,,,
147.824,-41.0979,,Standard,Winnaleah Memorial Hall,,0,20 Main St TAS 7265,,TAS,Winnaleah Memorial Hall,0,0,,,,,,,
145.93609,-41.06904,,Assisted Disabled,Wivenhoe Campus Leighland Christian School,,0,Stowport Rd TAS 7320,,TAS,Wivenhoe Campus Leighland Christian School,0,0,,,,,,,
146.931,-41.5825,,Standard,Whitemore Historical Group Rooms (Old School),,0,769 Whitemore Rd TAS 7303,,TAS,Whitemore Historical Group Rooms (Old School),0,0,,,,,,,
146.1732064,-41.3855154,,Assisted Disabled,Wilmot Primary School,,0,Main Rd (Wilmot Road) TAS 7310,,TAS,Wilmot Primary School,0,0,,,,,,,
147.154,-41.0153,,Standard,Weymouth Hall,,0,18 Major St TAS 7252,,TAS,Weymouth Hall,0,0,,,,,,,
148.019,-40.1214,,Assisted Disabled,Whitemark Lions Club,,0,James St TAS 7255,,TAS,Whitemark Lions Club,0,0,,,,,,,
146.83,-41.528,,Assisted Disabled,Westbury Town Hall,,0,26 Lyall St TAS 7303,,TAS,Westbury Town Hall,0,0,,,,,,,
146.787,-42.6775,,Assisted Disabled,Westerway Primary School,,0,1619 Gordon River Rd TAS 7140,,TAS,Westerway Primary School,0,0,,,,,,,
147.129,-41.4492,,Assisted Disabled,West Launceston Primary School,,0,24 Basin Rd TAS 7250,,TAS,West Launceston Primary School,0,0,,,,,,,
146.16,-41.1482,,Assisted Disabled,West Ulverstone Primary School,,0,34 Maud St TAS 7315,,TAS,West Ulverstone Primary School,0,0,,,,,,,
146.556,-41.1657,,Assisted Disabled,Port Sorell Memorial Hall,,0,Cnr Meredith & Darling St TAS 7307,,TAS,Port Sorell Memorial Hall,0,0,,,,,,,
147.845,-43.142,,Assisted Disabled,Port Arthur Sports Ground,,0,2745 Nubeena Rd TAS 7182,,TAS,Port Arthur Sports Ground,0,0,,,,,,,
147.266,-42.6836,,Assisted Disabled,Pontville Old Council Chambers,,0,262 Midland Hwy TAS 7030,,TAS,Pontville Old Council Chambers,0,0,,,,,,,
146.9637994,-43.1553225,,Assisted Disabled,Port Huon Sports & Aquatic Centre,,0,Huon Hwy TAS 7116,,TAS,Port Huon Sports & Aquatic Centre,0,0,,,,,,,
146.071,-41.112,,Assisted Disabled,Penguin Uniting Church Hall,,0,50 Main Rd TAS 7316,,TAS,Penguin Uniting Church Hall,0,0,,,,,,,
147.407,-42.3503,,Assisted Disabled,Parattah Jubilee Hall,,0,657 Tunnack Rd TAS 7120,,TAS,Parattah Jubilee Hall,0,0,,,,,,,
147.091,-41.1006,,Standard,Pipers River Fire Station,,0,76 School Rd TAS 7252,,TAS,Pipers River Fire Station,0,0,,,,,,,
147.173,-41.5725,,Assisted Disabled,Perth Community Centre,,0,173 Fairtlough St TAS 7300,,TAS,Perth Community Centre,0,0,,,,,,,
147.26576,-42.77427,,Standard,Old Beach Fire Station,,0,Jetty Rd TAS 7017,,TAS,Old Beach Fire Station,0,0,,,,,,,
147.372,-42.3,,Assisted Disabled,"Oatlands Council Chambers, Court Room",,0,71 High St TAS 7120,,TAS,"Oatlands Council Chambers, Court Room",0,0,,,,,,,
146.669,-42.4464,,Assisted Disabled,Ouse Online Centre,,0,6947 Lyell Hwy TAS 7140,,TAS,Ouse Online Centre,0,0,,,,,,,
147.874,-42.5629,,Assisted Disabled,Orford Community Hall,,0,Charles St TAS 7190,,TAS,Orford Community Hall,0,0,,,,,,,
147.404,-42.8819,,Assisted Disabled,Howrah Scout Hall,,0,"Howrah Primary School, Howrah Rd TAS 7018",,TAS,Howrah Scout Hall,0,0,,,,,,,
147.2915454,-43.0191283,,Assisted Disabled,Howden Fire Station,,0,Howden Rd TAS 7054,,TAS,Howden Fire Station,0,0,,,,,,,
147.0469969,-43.0291001,,Assisted Disabled,The Salvation Army Hall,,1,31 Wilmot Rd TAS 7109,,TAS,The Salvation Army Hall,0,0,,,,,,,
147.409,-42.8911,,Assisted Disabled,Tranmere Hall,,0,27 Tranmere Rd TAS 7018,,TAS,Tranmere Hall,0,0,,,,,,,
147.324,-42.8806,,Assisted Disabled,GA Wood Hall,,0,29 Bathurst St TAS 7000,,TAS,GA Wood Hall,1,0,,,,,,,
146.974945,-41.236252,,Assisted Disabled,Hillwood Memorial Hall,,0,280 Jetty Rd TAS 7252,,TAS,Hillwood Memorial Hall,0,0,,,,,,,
147.3204475,-42.8812157,,Standard,St Peter's Hall,,0,cnr Brisbane & Harrington Sts TAS 7000,,TAS,St Peter's Hall,0,0,,,,,,,
147.331806,-42.880739,,Assisted Disabled,City Hall,,0,57-63 Macquarie St TAS 7000,,TAS,City Hall,0,0,,,,,,,
146.244,-41.1589,,Assisted Disabled,Turners Community Centre,,0,Henry St TAS 7315,,TAS,Turners Community Centre,0,0,,,,,,,
147.11,-41.4782,,Standard,Residential Retirement Village Clubrooms,,0,12 Casino Rise TAS 7250,,TAS,Residential Retirement Village Clubrooms,0,0,,,,,,,
146.248975,-41.192921,,Assisted Disabled,Forth Primary School,,0,45 Wilmot Road TAS 7310,,TAS,Forth Primary School,0,0,,,,,,,
146.732,-41.3165,,Assisted Disabled,Frankford Memorial Hall,,0,Frankford Rd TAS 7275,,TAS,Frankford Memorial Hall,0,0,,,,,,,
147.132,-41.4157,,Assisted Disabled,St Finn Barr's School,,0,247 Invermay Rd TAS 7248,,TAS,St Finn Barr's School,0,0,,,,,,,
147.131233,-41.421676,,Assisted Disabled,Invermay Primary School,,0,35-43 Mayne St TAS 7248,,TAS,Invermay Primary School,0,0,,,,,,,
146.16,-41.1852,,Assisted Disabled,Gawler Public Hall,,0,15 Top Gawler Rd TAS 7315,,TAS,Gawler Public Hall,0,0,,,,,,,
147.126,-41.472,,Assisted Disabled,St Patrick's College,,0,282 Westbury Rd TAS 7250,,TAS,St Patrick's College,0,0,,,,,,,
147.148229,-41.461287,,Assisted Disabled,Cosgrove Park Bowls Club,,0,25 Waveney St TAS 7249,,TAS,Cosgrove Park Bowls Club,0,0,,,,,,,
145.558,-42.0802,,Standard,Queenstown Memorial Hall,,0,53 Orr St TAS 7467,,TAS,Queenstown Memorial Hall,1,0,,,,,,,
