lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,has_run_out,has_other,first_report,latest_report
145.25294,-38.03046,Narre Warren South District,,Hampton Park,,1, Regans Road Hampton Park 96 C7,,VIC,Hampton Park Primary School,0,1,,,,,,
145.33365,-38.04955,Narre Warren South District,,Centre Road,,1, 35 Gwendoline Drive Berwick 111 A12,,VIC,Berwick Fields Primary School,0,0,Sausages have sold out! Stall gone!,,,,,
145.34696,-38.06743,Narre Warren South District,,Berwick Chase,,0, 72 Viewgrand Drive Berwick 131 D5,,VIC,Berwick Chase Primary School,0,0,,,,,,
145.25915,-38.03492,Narre Warren South District,,Hampton Park East,,0, 58-96 Fordholm Road (access via Campbell Drive) Hampton Park 96 D9,,VIC,Hampton Park Secondary College,0,0,,,,,,
145.27926,-38.0336,Narre Warren South District,,Kilberry Valley,,0, Kilberry Boulevard Hampton Park 96 J8,,VIC,Kilberry Valley Primary School,0,0,,,,,,
145.346428,-38.052434,Narre Warren South District,,Berwick South,,1, Bemersyde Drive Berwick 131 D1,,VIC,Brentwood Park Primary School,0,0,,,,,,
144.913133,-38.361638,Nepean District,,Rosebud South,,0, 25 Leon Avenue Rosebud 170 F2,,VIC,Karingal Community Living - Konnections,0,0,,,,,,
145.286818,-38.049559,Narre Warren South District,,Narre Warren South,,0, 79-125 Amberly Park Drive (access via Ormond Road) Narre Warren South 3805 129 K1,,VIC,Narre Warren South P-12 College,0,0,,,,,,
145.0828,-37.98001,Mordialloc District,,Mentone Park,,0, 40359 Broome Avenue Mentone 87 E5,,VIC,Mentone Park Primary School,0,0,,,,,,
145.138767,-38.045161,Mordialloc District,,Chelsea Heights,,1, 194 Thames Promenade Chelsea Heights 93 G11,,VIC,Chelsea Heights Primary School,0,0,,,,,,
145.116178,-38.050771,Mordialloc District,,Chelsea,,0, 316 Station Street Chelsea 97 B1,,VIC,Chelsea Town Hall,0,0,,,,,,
144.95436,-37.743101,Pascoe Vale District,,Coburg South,,0, 6 Bellevue Street Coburg 29 F1,,VIC,Carinya Society.,0,0,,,,,,
144.967607,-37.741619,Pascoe Vale District,,Coburg,,1, Bell Street Coburg 17 J12,,VIC,Coburg Primary School - Junior Campus,0,1,,,,,,
144.948203,-37.721559,Pascoe Vale District,,Pascoe Vale North,,0, Kent Rd (access via Derby Street) Pascoe Vale 17 D7,,VIC,Pascoe Vale North Primary School,0,0,,,,,,
144.943069,-37.740917,Pascoe Vale District,,Pascoe Vale Central,,0, 71 Grandview Avenue (access via Waverley Parade) Pascoe Vale South 17 C12,,VIC,Antonine College - St Joseph's Campus,0,0,,,,,,
144.92053,-37.69936,Pascoe Vale District,,Glenroy North,,0, 208 Hilton Street Glenroy 16 H1,,VIC,Glenroy Specialist School,0,0,,,,,,
144.926856,-37.705546,Pascoe Vale District,,Glenroy,,0, 120 Glenroy Road (access via Cardinal Road) Glenroy 16 K2,,VIC,Glenroy College,0,0,,,,,,
144.93622,-37.71606,Pascoe Vale District,,Hadfield,,0, 40452 Pascoe Street Pascoe Vale 17 A5,,VIC,Westbreen Primary School,0,0,,,,,,
